organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;541
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;2388
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;763
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;135
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;559
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;23
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;3452
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-07;2018;1;2018;1;20
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;229
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;279
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;277
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;539
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;2383
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;767
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-07;2018;1;2018;1;136
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;660
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;23
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;3783
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-08;2018;1;2018;2;22
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;272
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;328
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;336
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;649
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;2767
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;911
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-08;2018;1;2018;2;154
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;685
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;25
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;3902
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-09;2018;1;2018;2;25
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;278
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;341
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;353
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;672
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;2880
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;940
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-09;2018;1;2018;2;156
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;682
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;28
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;3900
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-10;2018;1;2018;2;26
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;281
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;348
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;355
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;679
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;2918
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;958
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-10;2018;1;2018;2;150
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;679
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;29
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;3918
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-11;2018;1;2018;2;26
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;275
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;346
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;374
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;675
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;2963
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;958
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-11;2018;1;2018;2;155
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;669
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;28
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;3866
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-12;2018;1;2018;2;27
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;275
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;334
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;369
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;654
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;2867
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;932
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-12;2018;1;2018;2;155
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;596
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;27
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;3541
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-13;2018;1;2018;2;21
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;249
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;304
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;301
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;564
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;2513
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;835
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-13;2018;1;2018;2;139
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;596
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;27
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;3529
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-14;2018;1;2018;2;21
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;246
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;304
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;302
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;563
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;2513
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;836
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-14;2018;1;2018;2;139
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;672
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;26
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;3845
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-15;2018;1;2018;3;28
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;265
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;337
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;373
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;673
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;2888
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;941
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-15;2018;1;2018;3;167
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;697
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;29
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;3951
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-16;2018;1;2018;3;28
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;273
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;356
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;392
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;681
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;3007
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;1003
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-16;2018;1;2018;3;162
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;695
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;29
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;3963
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-17;2018;1;2018;3;29
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;270
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;359
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;381
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;697
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;3048
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;999
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-17;2018;1;2018;3;171
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;713
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;29
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;4063
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-18;2018;1;2018;3;30
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;274
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;372
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;389
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;728
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;3150
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;1034
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-18;2018;1;2018;3;168
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;700
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;27
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;3982
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-19;2018;1;2018;3;29
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;272
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;363
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;381
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;728
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;3038
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;1004
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-19;2018;1;2018;3;176
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;605
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;25
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;3629
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-20;2018;1;2018;3;22
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;251
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;329
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;318
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;620
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;2609
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;914
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-20;2018;1;2018;3;159
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;603
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;25
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;3620
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-21;2018;1;2018;3;22
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;249
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;328
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;321
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;620
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;2608
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;910
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-21;2018;1;2018;3;157
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;704
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;21
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;3997
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-22;2018;1;2018;4;31
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;271
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;364
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;378
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;745
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;3065
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;1012
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-22;2018;1;2018;4;172
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;724
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;23
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;4098
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-23;2018;1;2018;4;31
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;285
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;374
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;388
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;770
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;3166
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;1024
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-23;2018;1;2018;4;169
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;715
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;24
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;4125
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-24;2018;1;2018;4;34
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;278
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;374
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;379
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;773
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;3196
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;1028
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-24;2018;1;2018;4;175
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;745
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;24
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;4146
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-25;2018;1;2018;4;32
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;276
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;382
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;378
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;788
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-25;2018;1;2018;4;3208
